*EVALUATION : TUDU1701WH                                                              DSSAT Cropping System Model Ver. 4.8.5.000   -release    NOV 27, 2025; 15:48:48

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   EDAPS   EDAPM
   1 TUDU1701WH     1  1 WH     220     -99     -99     -99     -99     -99     271     -99    5973    5423     -99     -99   11881     -99    50.3     -99    29.7     -99   11265     -99       0     -99    3.33     -99   0.530     -99     -99     -99     113     -99     130     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      14     -99
   2 TUDU1701WH     2  1 WH     220     -99     -99     -99     -99     -99     271     -99    6018    7219     -99     -99   12098     -99    49.7     -99    30.2     -99   11402     -99       0     -99    3.36     -99   0.528     -99     -99     -99     114     -99     131     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      14     -99
   3 TUDU1701WH     3  1 WH     220     -99     -99     -99     -99     -99     271     -99    3063    5870     -99     -99    6108     -99    50.2     -99    15.3     -99    5474     -99       0     -99    1.29     -99   0.560     -99     -99     -99      57     -99      64     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      14     -99
   4 TUDU1701WH     4  1 WH     220     -99     -99     -99     -99     -99     271     -99    6004    8443     -99     -99   12058     -99    49.8     -99    30.1     -99   11367     -99       0     -99    3.35     -99   0.528     -99     -99     -99     114     -99     131     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      14     -99
   5 TUDU1701WH     5  1 WH     220     -99     -99     -99     -99     -99     271     -99    6629    9238     -99     -99   14396     -99    46.0     -99    36.0     -99   13237     -99       0     -99    4.07     -99   0.501     -99     -99     -99     117     -99     137     -99       0     -99     1.8     -99       2     -99      35     -99    0.00     -99      14     -99
   6 TUDU1701WH     6  1 WH     220     -99     -99     -99     -99     -99     271     -99    5989    7088     -99     -99   12010     -99    49.9     -99    30.0     -99   11328     -99       0     -99    3.33     -99   0.529     -99     -99     -99     113     -99     130     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      14     -99
   7 TUDU1701WH     7  1 WH     220     -99     -99     -99     -99     -99     271     -99    6632    7462     -99     -99   14508     -99    45.7     -99    36.3     -99   13291     -99       0     -99    4.08     -99   0.499     -99     -99     -99     120     -99     140     -99       0     -99     1.8     -99       2     -99      35     -99    0.00     -99      14     -99
   8 TUDU1701WH     8  1 WH     220     -99     -99     -99     -99     -99     271     -99    7076    8381     -99     -99   16407     -99    43.1     -99    41.0     -99   14824     -99       0     -99    4.74     -99   0.477     -99     -99     -99     150     -99     175     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      14     -99
   9 TUDU1701WH     9  1 WH     220     -99     -99     -99     -99     -99     271     -99    7070    9002     -99     -99   16677     -99    42.4     -99    41.7     -99   14939     -99       0     -99    4.78     -99   0.473     -99     -99     -99     152     -99     177     -99       0     -99     2.2     -99       2     -99      35     -99    0.00     -99      14     -99
  10 TUDU1701WH    10  1 WH     220     -99     -99     -99     -99     -99     271     -99    3063    7721     -99     -99    6108     -99    50.2     -99    15.3     -99    5474     -99       0     -99    1.29     -99   0.560     -99     -99     -99      57     -99      64     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      14     -99
  11 TUDU1701WH    11  1 WH     220     -99     -99     -99     -99     -99     271     -99    7066    9954     -99     -99   16638     -99    42.5     -99    41.6     -99   14918     -99       0     -99    4.77     -99   0.474     -99     -99     -99     152     -99     177     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      14     -99
  12 TUDU1701WH    12  1 WH     220     -99     -99     -99     -99     -99     271     -99    7076   10378     -99     -99   16456     -99    43.0     -99    41.1     -99   14848     -99       0     -99    4.75     -99   0.477     -99     -99     -99     151     -99     175     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      14     -99
  13 TUDU1701WH    13  1 WH     220     -99     -99     -99     -99     -99     271     -99    7052    8441     -99     -99   16574     -99    42.6     -99    41.4     -99   14859     -99       0     -99    4.74     -99   0.475     -99     -99     -99     150     -99     175     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      14     -99
  14 TUDU1701WH    14  1 WH     220     -99     -99     -99     -99     -99     271     -99    6697    9365     -99     -99   14687     -99    45.6     -99    36.7     -99   13417     -99       0     -99    4.08     -99   0.499     -99     -99     -99     135     -99     156     -99       0     -99     2.0     -99       2     -99      35     -99    0.00     -99      14     -99
  15 TUDU1701WH    15  1 WH     220     -99     -99     -99     -99     -99     271     -99    2833    2617     -99     -99    6108     -99    46.4     -99    15.3     -99    5244     -99       0     -99    1.29     -99   0.540     -99     -99     -99      43     -99      51     -99       0     -99     1.5     -99       2     -99      35     -99    0.00     -99      14     -99
