*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  NOV 27, 2025 15:48:13

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!               |---------- Daily (g/ha) ----------|------- Cumulative (kg/ha) --------|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!               Soil CO2  Net CO2      N2O      CH4 Soil CO2  Net CO2      N2O      CH4  Net CO2      N2O      CH4    Total
!                g[C]/ha  g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   CO2END   N2OGED   CH4GED    CO2EC   CO2ENC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
   15 215   139     3686     3406     0.30     0.00     1316      570     0.16     0.00     2090       75        0     2165
   15 216   140     3919     3656     0.30     0.00     1320      573     0.16     0.00     2103       75        0     2178
   15 217   141     4277     4000     0.30     0.00     1324      577     0.16     0.00     2118       75        0     2193
   15 218   142     4505     4219     0.30     0.00     1328      581     0.16     0.00     2134       75        0     2209
   15 219   143     4854     4625     0.29     0.00     1333      586     0.16     0.00     2151       75        0     2226
   15 220   144     5170     4844     0.29     0.00     1338      591     0.16     0.00     2168       75        0     2244
   15 221   145     5557     5156     0.28     0.00     1344      596     0.16     0.00     2187       75        0     2263
   15 222   146     5657     5313     0.29     0.00     1350      601     0.16     0.00     2207       75        0     2282
   15 223   147     5725     5406     0.29     0.00     1355      607     0.16     0.00     2227       76        0     2302
   15 224   148     5735     5438     0.29     0.00     1361      612     0.16     0.00     2247       76        0     2322
   15 225   149     5681     5375     0.29     0.00     1367      618     0.16     0.00     2266       76        0     2342
   15 226   150     5630     5375     0.29     0.00     1372      623     0.16     0.00     2286       76        0     2362
   15 227   151     6585     5594     0.26     0.00     1379      629     0.16     0.00     2307       76        0     2383
