*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  NOV 27, 2025 15:48:13
!                             <----------------- Initial State Variables ----------------><------------------ Final State Variables -----------------><----------- Added ----------><---------------- Lost ---------------->
!                             <-------- SOM-C -------><-------- FOM-C -------><-----CH4--><-------- SOM-C -------><-------- FOM-C -------><-----CH4--><---OM---><Senesced><-HarvRes><----------------- GHG ----------------><--Balance->
!                                     Surf        Soil        Surf        Soil     Storage        Surf        Soil        Surf        Soil     Storage 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi     CH4STDi        SC0D       SOMCT        LC0D        LCTD      CH4STD      OMAC     SENCC      HRCH     CO2EC     CH4EC    CH4LCC    CH4COC      CUMBAL
   1 TUDU1501.WHX         1 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309339.75        0.00      320.47        0.00      0.00      0.00      0.00   1445.36      0.00      0.00      0.00     -0.0196
   2 TUDU1501.WHX         2 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309341.25        0.00      320.64        0.00      0.00      0.00      0.00   1443.73      0.00      0.00      0.00      0.0079
   3 TUDU1501.WHX         3 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309230.09        0.00      289.40        0.00      0.00      0.00      0.00   1586.12      0.00      0.00      0.00      0.0293
   4 TUDU1501.WHX         4 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309340.53        0.00      320.66        0.00      0.00      0.00      0.00   1444.42      0.00      0.00      0.00      0.0171
   5 TUDU1501.WHX         5 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309347.88        0.00      318.54        0.00      0.00      0.00      0.00   1439.15      0.00      0.00      0.00     -0.0334
   6 TUDU1501.WHX         6 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309340.38        0.00      320.99        0.00      0.00      0.00      0.00   1444.27      0.00      0.00      0.00      0.0525
   7 TUDU1501.WHX         7 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309347.31        0.00      318.14        0.00      0.00      0.00      0.00   1440.12      0.00      0.00      0.00     -0.0376
   8 TUDU1501.WHX         8 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309350.88        0.00      316.75        0.00      0.00      0.00      0.00   1437.93      0.00      0.00      0.00     -0.0406
   9 TUDU1501.WHX         9 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309353.53        0.00      315.70        0.00      0.00      0.00      0.00   1436.34      0.00      0.00      0.00     -0.0325
  10 TUDU1501.WHX        10 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309230.12        0.00      289.43        0.00      0.00      0.00      0.00   1586.03      0.00      0.00      0.00      0.0002
  11 TUDU1501.WHX        11 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309353.25        0.00      315.75        0.00      0.00      0.00      0.00   1436.59      0.00      0.00      0.00      0.0000
  12 TUDU1501.WHX        12 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309353.28        0.00      315.81        0.00      0.00      0.00      0.00   1436.48      0.00      0.00      0.00     -0.0192
  13 TUDU1501.WHX        13 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309350.56        0.00      316.84        0.00      0.00      0.00      0.00   1438.18      0.00      0.00      0.00     -0.0063
  14 TUDU1501.WHX        14 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309348.22        0.00      319.17        0.00      0.00      0.00      0.00   1438.14      0.00      0.00      0.00     -0.0768
  15 TUDU1501.WHX        15 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309229.72        0.00      289.07        0.00      0.00      0.00      0.00   1586.84      0.00      0.00      0.00      0.0247
