
*SOIL N BALANCE - CENTURY ROUTINES

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  NOV 27, 2025 15:48:13

!                              |--------------- Initial N State Variables ----------------|----------------- Final N State Variables -----------------|------------- N Additions -------------|---------------- N Subtractions -----------------|--Mineralization---|----- Seasonal Balance -----|
!                              |----------------- Organic ----------------------|         |------------------ Organic ----------------------|         |  Harvest   Applied                    |              Tile-     Plant     N gas     Flood|   Miner-    Immob-|                            |
!                              | Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Residue   Residue  Fertiliz   Senesed|  Leached   drained    Uptake    Losses    Losses|   alized    ilized|Inorganic   Organic   Overall
@Run FILEX               TN CR     SN0Di    S1NTDi    S2NTDi    S3NTDi     LNTDi     NIADi      SN0D     S1NTD     S2NTD     S3NTD      LNTD      NIAD      HRNH     RESNC      NICM     SNNTC      NLCM      TDFC      NUCM     NGasC      RNRO      NMNC      NIMC    InNBal   OrgNBal     SNBAL
   1 TUDU1501.WHX         1 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.07      0.00     13.02     82.02      0.00      0.00    120.00      0.00      8.49      0.00    162.30     17.87      0.00     48.48      0.39     -0.00      0.00      0.00
   2 TUDU1501.WHX         2 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.15      0.00     13.02     94.46      0.00      0.00    120.00      0.00      7.90      0.00    167.67      0.57      0.00     48.40      0.40      0.00      0.00      0.00
   3 TUDU1501.WHX         3 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16825.55      0.00     12.06    102.81      0.00      0.00     40.00      0.00     14.06      0.00     78.97      1.32      0.00     54.91      0.34     -0.00      0.00     -0.00
   4 TUDU1501.WHX         4 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.11      0.00     13.02     93.91      0.00      0.00    120.00      0.00      7.98      0.00    166.55      2.20      0.00     48.44      0.39     -0.00      0.00      0.00
   5 TUDU1501.WHX         5 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.45      0.00     12.93     63.92      0.00      0.00    120.00      0.00      6.15      0.00    198.47      1.83      0.00     48.18      0.40     -0.00      0.00     -0.00
   6 TUDU1501.WHX         6 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.10      0.00     13.04     91.55      0.00      0.00    120.00      0.00      8.25      0.00    163.25      7.58      0.00     48.43      0.40      0.00      0.00     -0.00
   7 TUDU1501.WHX         7 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.46      0.00     12.92     70.79      0.00      0.00    120.00      0.00      6.46      0.00    191.01      2.12      0.00     48.18      0.40     -0.00      0.00     -0.00
   8 TUDU1501.WHX         8 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.62      0.00     12.86     95.96      0.00      0.00    180.00      0.00      5.43      0.00    216.00     12.89      0.00     48.09      0.40     -0.00      0.00      0.00
   9 TUDU1501.WHX         9 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.75      0.00     12.82     97.92      0.00      0.00    180.00      0.00      4.73      0.00    226.45      1.09      0.00     48.00      0.40      0.00      0.00      0.00
  10 TUDU1501.WHX        10 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16825.55      0.00     12.06    122.68      0.00      0.00     60.00      0.00     14.06      0.00     78.99      1.42      0.00     54.91      0.34     -0.00      0.00     -0.00
  11 TUDU1501.WHX        11 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.74      0.00     12.82     97.10      0.00      0.00    180.00      0.00      4.83      0.00    225.78      2.51      0.00     48.01      0.40     -0.00      0.00      0.00
  12 TUDU1501.WHX        12 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.74      0.00     12.82     96.84      0.00      0.00    180.00      0.00      4.80      0.00    225.61      2.95      0.00     48.01      0.40      0.00     -0.00     -0.00
  13 TUDU1501.WHX        13 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.60      0.00     12.87     96.11      0.00      0.00    180.00      0.00      5.52      0.00    215.29     13.39      0.00     48.10      0.40     -0.00      0.00     -0.00
  14 TUDU1501.WHX        14 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.44      0.00     12.95    106.91      0.00      0.00    180.00      0.00      6.15      0.00    214.90      2.42      0.00     48.18      0.40     -0.00      0.00     -0.00
  15 TUDU1501.WHX        15 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16825.54      0.00     12.05     67.50      0.00      0.00      0.00      0.00     14.06      0.00     75.47      0.16      0.00     54.93      0.34     -0.00      0.00     -0.00
