*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  NOV 27, 2025 15:48:13

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                                   Nitrification (g[N]/ha) by soil depth (cm):                                     N2O flux (g[N]/ha) by soil depth (cm):                                          N2 flux (g[N]/ha) by soil depth (cm):                                           NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NDN10   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   NIT10   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2O10   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   N2F10   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   NOF10
   15 077     1    0.00    0.00    0.00    0.00     1.1   0.000   0.001   0.000   0.001     0.0     0.0     0.0     0.0    1119    0.00    1.12    0.00    1.50     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     22.     45.     23.     47.     42.     49.     50.     51.    107.    110.     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
   15 078     2    0.00    0.00    0.00    0.00     2.1   0.000   0.002   0.000   0.003     0.0     0.0     0.0     0.0     943    0.00    0.94    0.00    1.23     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     16.     34.     19.     39.     36.     41.     42.     43.     90.     93.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
   15 079     3    0.00    0.00    0.00    0.00     2.9   0.000   0.003   0.000   0.004     0.0     0.0     0.0     0.0     794    0.00    0.79    0.00    1.03     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     12.     26.     16.     33.     35.     34.     35.     36.     75.     78.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.0     0.0     0.1     0.1
   15 080     4    0.00    0.00    0.00    0.00     3.5   0.000   0.004   0.000   0.007     0.0     0.0     0.1     0.0     666    0.00    0.67    0.00    3.20     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      9.     19.     13.     27.     29.     28.     29.     30.     63.     66.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.1     0.2     0.2     0.2     0.2     0.1     0.3     0.3
   15 081     5    0.00    0.00    0.00    0.00     4.1   0.000   0.004   0.000   0.009     0.0     0.0     0.1     0.0     562    0.00    0.56    0.00    2.18     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      7.     15.     11.     22.     24.     24.     25.     25.     53.     55.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.1     0.2     0.1     0.1     0.1     0.1     0.2     0.2
   15 082     6    0.00    0.00    0.00    0.00     4.6   0.000   0.005   0.000   0.011     0.0     0.0     0.1     0.0     468    0.00    0.47    0.00    1.46     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      6.     12.      9.     18.     20.     19.     20.     21.     44.     46.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
   15 083     7    0.00    0.00    0.00    0.00     5.0   0.000   0.005   0.000   0.012     0.0     0.0     0.1     0.0     407    0.00    0.41    0.00    1.03     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      5.     10.      8.     16.     17.     17.     18.     18.     38.     40.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.0     0.0     0.1     0.1
   15 084     8    0.00    0.00    0.00    0.00     5.3   0.000   0.005   0.000   0.012     0.0     0.0     0.1     0.0     373    0.00    0.37    0.00    0.77     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      5.     10.      7.     15.     16.     16.     16.     17.     35.     37.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.0     0.0     0.0     0.0     0.1     0.1
   15 085     9    0.00    0.00    0.00    0.00     5.7   0.000   0.006   0.000   0.013     0.0     0.0     0.1     0.0     353    0.00    0.35    0.00    0.60     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      5.      9.      7.     14.     15.     15.     16.     16.     33.     35.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   15 086    10    0.00    0.00    0.00    0.00     6.0   0.000   0.006   0.000   0.013     0.0     0.0     0.2     0.0     323    0.00    0.32    0.00    0.45     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      4.      9.      6.     13.     14.     14.     14.     15.     30.     32.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   15 087    11    0.00    0.00    0.00    0.00     6.3   0.000   0.006   0.000   0.014     0.0     0.0     0.2     0.0     303    0.00    0.30    0.00    0.39     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      4.      8.      6.     13.     13.     13.     14.     14.     29.     30.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   15 088    12    0.00    0.00    0.00    0.00     6.6   0.000   0.007   0.000   0.014     0.0     0.0     0.2     0.0     285    0.00    0.29    0.00    0.37     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      4.      8.      6.     12.     13.     13.     13.     13.     27.     28.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   15 089    13    0.00    0.00    0.00    0.00     6.9   0.000   0.007   0.000   0.015     0.0     0.0     0.2     0.0     268    0.00    0.27    0.00    0.35     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      4.      7.      6.     12.     12.     12.     12.     13.     26.     26.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   15 090    14    0.00    0.00    0.00    0.00     7.1   0.000   0.007   0.000   0.015     0.0     0.0     0.1     0.0     237    0.00    0.24    0.00    0.30     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      3.      6.      5.     10.     11.     10.     11.     11.     23.     23.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   15 091    15    0.00    0.00    0.00    0.00     7.3   0.000   0.007   0.000   0.015     0.0     0.0     0.1     0.0     218    0.00    0.22    0.00    0.27     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      2.      5.      5.     10.     10.     10.     10.     10.     21.     22.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   15 092    16    0.00    0.00    0.00    0.00     7.5   0.000   0.008   0.000   0.015     0.0     0.0     0.1     0.0     192    0.00    0.19    0.00    0.24     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      1.      3.      4.      8.      9.      8.      9.      9.     18.     19.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   15 093    17    0.00    0.00    0.00    0.00     7.7   0.000   0.008   0.000   0.016     0.0     0.0     0.1     0.0     168    0.00    0.17    0.00    0.20     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      1.      2.      3.      7.      8.      7.      8.      8.     16.     17.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   15 094    18    0.00    0.00    0.00    0.00     7.8   0.000   0.008   0.000   0.016     0.0     0.0     0.2     0.0     145    0.00    0.15    0.00    0.18     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      1.      2.      3.      6.      7.      6.      7.      7.     14.     14.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   15 095    19    0.00    0.00    0.00    0.00     8.0   0.000   0.008   0.000   0.016     0.0     0.0     0.1     0.0     127    0.00    0.13    0.00    0.15     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      1.      2.      2.      5.      6.      6.      6.      6.     12.     13.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
