Variable,RMSE,MAE,R2,ModelEfficiency,Bias,n
Yield,2529.564810438415,2098.641666666667,-0.9910075387471708,-0.9910075387471708,-2061.258333333333,15
GrainWeight,7.145744654454612,6.293333333333334,-28.430355427473582,-28.430355427473582,6.293333333333334,15
GrainNitrogen,65.88938204799516,55.64666666666667,-0.7345414059337021,-0.7345414059337021,-55.62,15
