Treatment,Nitrogen_Applied_kg_ha,Yield_Simulated_kg_ha,Biomass_Simulated_kg_ha,Harvest_Index_Simulated,Grain_Weight_Simulated_mg,Grain_Number_Simulated,Grain_Nitrogen_Simulated_kg_ha,Yield_Observed_kg_ha,Yield_Observed_Std,Yield_Observed_n,Grain_Weight_Observed_mg,Grain_Weight_Observed_Std,Grain_Nitrogen_Observed_kg_ha,Grain_Nitrogen_Observed_Std,Harvest_Date_Observed,Yield_Difference_kg_ha,Yield_Error_Percent,Grain_Weight_Difference_mg,Grain_Weight_Error_Percent,Grain_Nitrogen_Difference_kg_ha,Grain_Nitrogen_Error_Percent
1,120,5416.0,12392.0,0.437,38.9,13913.0,101.7,6716.75,509.40081222942706,4,43.25,1.299038105676658,149.0,11.640446726822816,15237,-1300.75,-19.36576469274575,-4.350000000000001,-10.057803468208096,-47.3,-31.74496644295302
2,120,5529.0,12733.0,0.434,38.8,14236.0,105.0,7270.75,539.7922632828299,4,43.5,1.118033988749895,168.5,18.445866745696716,15237,-1741.75,-23.955575422067874,-4.700000000000003,-10.804597701149433,-63.5,-37.68545994065282
3,40,2937.0,6001.0,0.489,44.9,6540.0,51.6,7282.5,569.9866226500408,4,42.5,0.5,160.5,23.66960075708925,15237,-4345.5,-59.67044284243048,2.3999999999999986,5.647058823529409,-108.9,-67.85046728971963
4,120,5514.0,12678.0,0.435,38.9,14180.0,104.2,7165.0,240.54417473719874,4,41.5,2.0615528128088303,149.5,8.200609733428363,15237,-1651.0,-23.042568039078855,-2.6000000000000014,-6.265060240963859,-45.3,-30.301003344481604
5,120,6001.0,14242.0,0.421,38.3,15655.0,126.4,7176.75,118.1807408167676,4,42.75,0.82915619758885,153.0,3.082207001484488,15237,-1175.75,-16.382763785836207,-4.450000000000003,-10.409356725146205,-26.599999999999994,-17.385620915032675
6,120,5431.0,12453.0,0.436,38.8,13983.0,102.3,6469.25,605.260016439216,4,41.5,0.5,110.25,65.88009942311866,15237,-1038.25,-16.049001043397613,-2.700000000000003,-6.5060240963855485,-7.950000000000003,-7.210884353741499
7,120,5912.0,14028.0,0.421,38.6,15324.0,119.0,7874.5,213.36529708460088,4,43.25,0.4330127018922193,174.25,13.045593125649749,15237,-1962.5,-24.922217283637057,-4.649999999999999,-10.7514450867052,-55.25,-31.70731707317073
8,180,6171.0,14848.0,0.416,38.3,16103.0,138.5,7875.75,445.78771573474296,4,42.5,0.5,191.25,14.872373717735847,15237,-1704.75,-21.6455575659461,-4.200000000000003,-9.882352941176476,-52.75,-27.58169934640523
9,180,6253.0,15219.0,0.411,38.1,16403.0,145.8,8177.0,653.097619043279,4,42.5,0.5,206.75,20.314711418083203,15237,-1924.0,-23.52941176470588,-4.399999999999999,-10.352941176470583,-60.94999999999999,-29.48004836759371
10,60,2937.0,6001.0,0.489,44.9,6540.0,51.6,7691.25,682.3241073712697,4,43.0,1.5811388300841898,195.75,16.48294573187693,15237,-4754.25,-61.8137493905412,1.8999999999999986,4.418604651162787,-144.15,-73.63984674329502
11,180,6245.0,15184.0,0.411,38.2,16370.0,145.4,7766.5,351.004629599098,4,43.0,0.7071067811865476,184.75,16.78354849249705,15237,-1521.5,-19.59054915341531,-4.799999999999997,-11.162790697674412,-39.349999999999994,-21.299052774018943
12,180,6246.0,15186.0,0.411,38.1,16377.0,145.3,7662.5,457.56447633093194,4,42.5,0.5,181.25,23.509306667785847,15237,-1416.5,-18.486133768352364,-4.399999999999999,-10.352941176470583,-35.94999999999999,-19.834482758620684
13,180,6157.0,14787.0,0.416,38.3,16056.0,138.2,7428.75,703.8911048592673,4,42.25,0.82915619758885,184.25,23.594225988576103,15237,-1271.75,-17.119300016826518,-3.950000000000003,-9.349112426035509,-46.05000000000001,-24.993215739484402
14,180,6036.0,14284.0,0.423,38.5,15664.0,140.6,8204.25,212.39865230269234,4,43.25,0.4330127018922193,200.75,11.776565713313877,15237,-2168.25,-26.428375537069204,-4.75,-10.982658959537572,-60.150000000000006,-29.9626400996264
15,0,2936.0,6001.0,0.489,44.9,6540.0,48.4,3467.375,327.87723979410345,8,42.0,2.0615528128088303,71.5,10.222524150130436,15237,-531.375,-15.324993691192907,2.8999999999999986,6.904761904761901,-23.1,-32.30769230769231
