Variable,RMSE,MAE,R2,ModelEfficiency,Bias,n
Yield,2202.7235246488985,1900.525,-2.952588043828276,-2.952588043828276,-1900.525,15
GrainWeight,3.931348369198538,3.8100000000000005,-42.26578538102643,-42.26578538102643,-2.850000000000001,15
GrainNitrogen,63.45282368290109,54.483333333333334,-2.3227360776483588,-2.3227360776483588,-54.483333333333334,15
